trust,gdp_per_capita,life_expectancy,freedom,social_support,generosity,gdp_social_interaction,life_expectancy_sq,freedom_trust_ratio,generosity_gdp_residual,happiness_score,country
-0.5169000436102092,0.5746382579598753,0.34189571196608787,0.7585869698603636,0.6862422002138521,0.3336675075020312,0.6311454160754686,0.20206394829890378,-0.08865480847376747,0.3787782984497545,5.888,Mauritius
1.7076073486796448,-2.1909096358607134,-1.7883582465000574,1.153957576673642,-1.6521452887508161,0.6262695008681384,-1.7382473430615226,-1.5114548094176987,-0.08894361481753678,0.46567279015937035,4.668,Somalia
-0.28385641203698636,-0.6970199253594135,-1.611506974476453,-2.3654889725002923,0.1481473519009599,-0.5127882590213502,-0.6062430329531502,-1.4340556117524228,-0.08903055312752665,-0.5681550384364031,4.139,Sudan
0.6165394372231926,-1.4303839650600516,-1.1452627118687684,0.0067346683793759006,-0.8516461625569453,0.8979713518509524,-1.3018447430414446,-1.1737128559692211,-0.0889335522015351,0.7960582317824577,4.516,Gambia
-0.7075721058064822,0.8660084824874014,0.42228265379499863,-0.583080499161744,1.061579964777783,-1.4637447374611987,1.0918690577782002,0.30008675662734097,-0.08871839062777193,-1.4075658322338658,6.149,Lithuania
-0.9829873067566547,0.8487238081510229,0.00025120919321520806,0.700253601642011,0.9353601855438954,0.020165371752630702,1.0052817432927985,-0.18746449810155635,-0.08762277691188192,0.08395539964618338,6.192,Trinidad & Tobago
-0.8876512756585182,0.8240314162419105,1.1497844773466446,0.8234018234363109,0.7825678212081357,-1.421944452694612,0.8982438097526123,1.2975325219315343,-0.08809757947522628,-1.3686636308937656,5.693,Portugal
-0.855872598625806,0.40672999297791085,-0.22483222792773574,0.08451249267051263,1.1379761469456633,0.6367195720597851,0.7031760182446679,-0.4201473525247529,-0.08838725565625967,0.6710535295953776,5.247,Turkmenistan
-0.37919244313512307,0.4511762984143132,0.5951145787271577,0.33729042161670664,0.4238379223328738,-1.1397925305201513,0.397818534614448,0.5190518770756146,-0.08876461174463883,-1.1127885653201948,6.595,Mexico
0.27756688220759584,-0.18835665203169794,-2.865543267007467,-0.44048782129465996,-0.15411580363282523,-1.1397925305201513,-0.33216128024217345,-1.7292886641634193,-0.08893211084035507,-1.1607646069553705,4.212,Swaziland
-0.02962699577528887,0.7302003269872833,0.38208918288054344,-1.205303093490837,0.5467361284290287,-1.0457418897953312,0.6894507300485259,0.25077206407101743,-0.08895431298216597,-0.9972417154041188,5.373,Turkey
-0.09318434984071318,0.34993749158695203,0.7237336856534157,0.9076611330850424,-0.23383355893843902,-1.3069936695864983,0.008535500832378385,0.6892815857964854,-0.0887980602349142,-1.2885880600174064,5.191,China
-0.7181649981507197,-1.5143380975510339,-0.6348056312551824,-1.509932905297789,-0.9280423447248248,-0.14703576731371612,-1.359528375095327,-0.7950845943810262,-0.08887225094802415,-0.26151997975303964,3.933,Madagascar
0.4364602673711566,0.5845152147235203,0.7156949914705245,0.9206241038002317,0.8955013078910885,-0.585938757362877,0.7464583584621415,0.6784602559661678,-0.0888779545038115,-0.5456073333684134,6.293,Uruguay
-1.0889162301990287,0.14252139955040796,0.5308050252640287,-1.095117842411727,0.055143304044410514,0.8352709247010723,-0.010001786490577454,0.43626627756654784,-0.0874017803109002,0.8509765493086395,5.386,Bosnia and Herzegovina
