trust,gdp_per_capita,life_expectancy,freedom,social_support,generosity,happiness_score
-0.24451859094772233,-0.8577854032271277,-1.9001385559703856,-0.24783109154998592,-1.2662542868975653,-0.35564747905145233,4.944
-0.2343260313311176,-1.522056278385091,-1.64678158339492,-2.5181039604000666,-2.0309216257630838,0.1299621026428688,2.853
0.00010283985079078717,0.2358620832496716,0.32377264774759057,-2.013598878433382,-0.11104869341832788,-1.175113648160619,5.211
-0.5502953794458636,0.5338999664003932,0.37605265796157555,0.7213497238070662,0.6831551520986481,0.26148136435174724,5.888
-0.6012581775288871,0.12978080280619445,-0.9470337543769675,-0.002216775329362953,0.5157816144070542,-0.5984522698986128,4.722
-0.08143763708204696,0.6930218870656085,0.4162680504338717,-1.2900323792969526,0.5453181210585124,-1.0739449853076355,5.373
-0.6318358563787013,-1.3225224413604557,-1.594501573180935,-0.41378671061797406,-0.2915495673994586,-0.36576434533675073,4.39
-0.4891400217462353,-0.6355198632503185,-0.13066128718935568,-1.0908856364153665,0.174470870879098,-0.8716076596016684,4.696
-0.8051093698609812,-2.2292648146749383,-2.4108740403685465,-1.0908856364153665,-3.917976217383998,0.46381869005771426,3.083
0.2753019494991178,-0.7314981646039407,-1.063658392546626,-2.498189286111908,-2.6774429380227707,1.4350378534463566,3.462
-0.5910656179122824,0.9910597702163295,1.3331789988022233,-1.529008470754856,0.08257951685234036,-0.143193287060187,5.895
-0.3464441871137694,0.35962357710039466,0.6696250230093371,-1.2767559297715134,0.5485999551308962,-0.4770498744750327,5.523
-0.254711150564327,0.3394176189206847,-0.5247721334178581,-0.9846740402118541,-0.7017788264474834,-0.41634867676324255,4.437
-0.743954012161353,0.8950814688627073,1.357308234285601,0.11063304563686922,0.09570685314187717,0.008559707219288452,6.046
0.1835689129496756,1.2486857370076312,0.36398804021988673,0.3296944628066137,0.5354726188413594,-1.1042955841635305,6.375
0.6728117745467015,-2.1787499192256634,-1.304950747380403,-1.1240767602289643,-2.450996387028261,-0.13307642077488863,3.775
-0.5910656179122824,-0.07480452376336837,-0.9148614403991304,0.07744192182327153,0.39107191965645455,-1.205464247016514,4.639
1.6716826169739634,1.0718836029351693,1.1723174289130387,0.4027149351965286,1.1294845859428995,1.6070245802964283,7.054
-0.7745316910111671,0.09947186553662954,-0.15076898342550377,-0.4801689582451695,1.1065117474362096,0.46381869005771426,5.285
0.2854945091157225,0.40003549345981454,0.33985880473650903,-1.0245033887881714,0.8899106986588532,-0.9626594561693536,5.323
-0.32605906788055994,0.9279161509047362,1.3050282240716158,-0.12170482105831468,0.8570923579350112,0.7268572134754717,7.139
1.5901421400411258,-2.294934178758995,-1.7553631430701195,1.1262814343329581,-1.6272560348598275,0.5447536203401011,4.668
1.7939933323732196,1.1703876490612555,1.3331789988022233,1.113004984807519,1.1623029266667415,1.445154719731655,7.228
-0.3668293063469788,-1.4109235083966867,-2.06100012585957,-1.429435099314063,-1.4040913179377017,0.08949463750167536,4.35
0.5097308206810263,-0.3652651725966984,-0.6172675361041389,1.0466227371803236,-0.5376871228282734,0.7774415449019635,4.796
-0.1731706736314893,1.1602846699714005,0.8425512106402107,-0.2544693163127055,0.7750465061254057,0.5346367540548028,6.446
3.017100486365784,1.1981708415583563,1.1723174289130387,1.3453428515027022,1.244348778476346,0.6358054169077865,7.6
-0.2750962697975365,0.008545053727935119,0.6575604052676483,0.7213497238070662,0.38779008558407074,-0.6389197350398063,6.028
-0.6522209756119106,0.46317911277140833,0.7098404154816333,0.5421176552136386,0.7816101742701741,-1.2459317121577074,6.086
0.21414659179948975,-0.24655516829090252,-2.8331356613276557,-0.5067218572960476,-0.14714886821455372,-1.1649967818753206,4.212
-0.21394091209790816,-0.5951079468908986,-0.7901937237350124,-0.11506659629559514,-1.2957907935490232,-0.8513739270310717,4.812
1.9978445247053138,1.4911572351641504,1.1843820466547277,0.8408377695360179,1.1787120970286622,1.1011812660315106,7.021
-0.4279846640466071,-1.1583490311503126,-0.536836751159547,-0.646124577313158,-0.19637637930031712,-0.36576434533675073,4.681
-1.1618489564421461,-0.5647990096213337,0.1387818423750282,-0.958121141160976,0.44029943074221795,-0.08249208934839682,5.529
0.2956870687323272,-0.8754656166343736,0.07443721441935433,0.9138582419259328,-0.8724341982114615,-0.234245083627872,4.456
0.5912712976138638,-0.5016553903097405,-0.6011813791152204,0.9005817924004937,-0.042130177898259284,3.812501430491469,4.36
-0.6114507371454918,0.6071465648018414,0.8264650536512922,0.8408377695360179,0.8144285149940161,-0.8109064618898782,6.321
-0.9070349660270285,-1.4109235083966867,-1.3813599930777656,-2.5844862080272617,-2.2212680019613673,-0.3151800139102589,3.203
