,count,mean,std,min,25%,50%,75%,max
trust,170.0,0.018285236239706883,1.0105145427882598,-1.161848956442146,-0.6471246958036083,-0.28019254960583884,0.30333148844478075,3.455380549879788
gdp_per_capita,170.0,0.0034678400267252113,1.0176019224033037,-2.294934178758995,-0.7630699742597374,0.1297808028061944,0.8470923181858965,1.9584200180699416
life_expectancy,170.0,0.03299329348726402,0.979663205094244,-2.833135661327656,-0.7741344189396848,0.30567572113505725,0.681689640751026,1.7554406197613328
freedom,170.0,0.03282678803553417,0.9743614045610735,-2.5844862080272617,-0.516679194440127,0.21684464184038144,0.7860724152435816,1.615784128335896
social_support,170.0,0.015161150241355682,0.9714392138344368,-3.917976217383998,-0.45482081250057244,0.1826754560600583,0.8037625542587679,1.4117223161679409
generosity,170.0,0.016472193642873733,1.013180125792619,-1.913644886987399,-0.7856142961766324,-0.0723752230630984,0.6358054169077865,3.812501430491469
happiness_score,170.0,5.418223530690811,1.101859653613379,2.853,4.55075,5.4055,6.189500000000001,7.769
