,trust,gdp_per_capita,life_expectancy,freedom,social_support,generosity,happiness_score
trust,1.0,0.2188308367951532,0.22597032020738045,0.4240924005756435,0.0932726491397003,0.3942610099296632,0.34008540837893564
gdp_per_capita,0.2188308367951532,1.0,0.8132669260440331,0.3741734176283025,0.7310692769476977,-0.08677417531899236,0.7835435543263863
life_expectancy,0.22597032020738045,0.8132669260440331,1.0,0.3854352559846264,0.7093982731424382,-0.05068655265512691,0.7555133926510958
freedom,0.4240924005756435,0.3741734176283025,0.3854352559846264,1.0,0.3865781776323031,0.2818561227090103,0.5786867970100886
social_support,0.0932726491397003,0.7310692769476977,0.7093982731424382,0.3865781776323031,1.0,-0.07554314703062812,0.7363860647572584
generosity,0.3942610099296632,-0.08677417531899236,-0.05068655265512691,0.2818561227090103,-0.07554314703062812,1.0,0.08390566092761033
happiness_score,0.34008540837893564,0.7835435543263863,0.7555133926510958,0.5786867970100886,0.7363860647572584,0.08390566092761033,1.0
