model,mae,rmse,r2
Ridge,0.40731224961956675,0.5512400771073801,0.7639582291602436
OLS,0.40759499361912066,0.5518299607730045,0.7634527808451651
Lasso,0.41127493219126104,0.5556365102213946,0.7601780971531528
